<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
040121,173100,133.5300000,133.6000000,132.9600000,133.1700000,85445
040121,173200,133.1300000,133.4300000,133.0800000,133.3350000,17874
040121,173300,133.3200000,133.3200000,132.9900000,133.1100000,31580
040121,173400,133.0500000,133.0500000,132.7200000,132.7300000,31892
040121,173500,132.7500000,132.8300000,132.3900000,132.8000000,55598
040121,173600,132.8400000,132.8700000,132.6300000,132.6600000,21719
040121,173700,132.5800000,132.5800000,132.2800000,132.3400000,16404
040121,173800,132.3100000,132.3500000,132.1300000,132.2000000,14887
040121,173900,132.2150000,132.2150000,131.8100000,131.9100000,42004
040121,174000,131.9800000,132.1200000,131.8800000,131.8800000,16826
040121,174100,131.9000000,131.9500000,131.4700000,131.7100000,34317
040121,174200,131.7500000,132.1300000,131.5900000,132.1300000,22000
040121,174300,132.1400000,132.2300000,131.9400000,132.2050000,23374
040121,174400,132.2100000,132.3300000,132.1500000,132.1700000,12331
040121,174500,132.1750000,132.1900000,131.9900000,132.1000000,11343
040121,174600,132.0700000,132.2500000,131.9100000,132.0200000,25234
040121,174700,132.0300000,132.1500000,131.9000000,131.9100000,17909
040121,174800,131.9300000,132.1100000,131.8700000,132.0000000,21936
040121,174900,131.9800000,132.1400000,131.9800000,132.0100000,17876
040121,175000,132.0000000,132.2900000,131.9700000,132.2500000,17760
040121,175100,132.2200000,132.2300000,131.8500000,131.9400000,19867
040121,175200,131.9500000,131.9800000,131.7500000,131.8800000,17648
040121,175300,131.8700000,131.9100000,131.6500000,131.6900000,13760
040121,175400,131.6900000,131.8400000,131.6800000,131.8200000,14315
040121,175500,131.8400000,131.9100000,131.5200000,131.5700000,19957
040121,175600,131.6100000,132.0700000,131.5200000,132.0600000,35438
040121,175700,132.0700000,132.0700000,131.9000000,131.9900000,12160
040121,175800,131.9800000,132.0200000,131.8000000,131.8600000,13514
040121,175900,131.8200000,131.8900000,131.5800000,131.5900000,22977
040121,180000,131.5700000,131.5700000,131.3000000,131.4500000,41299
040121,180100,131.4700000,131.6500000,131.3500000,131.3500000,26678
040121,180200,131.3500000,131.4100000,131.1900000,131.3200000,18621
040121,180300,131.3400000,131.3900000,131.2600000,131.3500000,15870
040121,180400,131.3650000,131.4000000,131.1300000,131.1800000,17418
040121,180500,131.1700000,131.3300000,131.0700000,131.1100000,28532
040121,180600,131.1300000,131.4400000,131.1300000,131.3700000,11847
040121,180700,131.3700000,131.4700000,131.3600000,131.4600000,9238
040121,180800,131.4600000,131.4600000,131.2900000,131.3000000,14998
040121,180900,131.3100000,131.3400000,131.1400000,131.1800000,18163
040121,181000,131.2100000,131.2100000,130.8000000,130.8600000,46200
040121,181100,130.8700000,131.0700000,130.8300000,130.8400000,13885
040121,181200,130.8600000,130.8900000,130.5600000,130.6700000,26930
040121,181300,130.6700000,130.6700000,130.3900000,130.3900000,36861
040121,181400,130.4000000,130.6700000,130.4000000,130.6700000,24560
040121,181500,130.6700000,130.7100000,130.4200000,130.5100000,16322
040121,181600,130.5000000,130.7500000,130.4700000,130.6200000,16724
040121,181700,130.6000000,130.9600000,130.6000000,130.9000000,26935
040121,181800,130.9300000,130.9600000,130.8000000,130.8200000,9489
040121,181900,130.8400000,130.9100000,130.7800000,130.9000000,9348
040121,182000,130.8900000,130.9500000,130.8300000,130.9100000,12287
040121,182100,130.8800000,130.9700000,130.8500000,130.9700000,10591
040121,182200,130.9800000,131.1100000,130.9700000,131.0750000,22971
040121,182300,131.0900000,131.0900000,130.9200000,130.9550000,12386
040121,182400,130.9500000,131.0300000,130.9300000,131.0300000,7688
040121,182500,131.0000000,131.0600000,130.9400000,130.9400000,6132
040121,182600,130.9600000,131.0900000,130.9000000,131.0900000,9717
040121,182700,131.0800000,131.1400000,131.0400000,131.0600000,8831
040121,182800,131.0000000,131.0000000,130.7950000,130.9700000,24677
040121,182900,130.9700000,131.1100000,130.9700000,131.0200000,4586
040121,183000,131.0000000,131.0700000,130.9900000,131.0500000,10651
040121,183100,131.0600000,131.2300000,131.0600000,131.1500000,26122
040121,183200,131.1400000,131.1500000,130.9600000,130.9700000,12198
040121,183300,130.9600000,131.0350000,130.6700000,130.7300000,10671
040121,183400,130.7300000,130.7600000,130.6200000,130.7000000,16235
040121,183500,130.6900000,130.7400000,130.6200000,130.6600000,11826
040121,183600,130.6800000,130.7300000,130.5700000,130.5800000,12457
040121,183700,130.5800000,130.8000000,130.5800000,130.8000000,7044
040121,183800,130.7900000,130.9000000,130.7900000,130.8300000,12545
040121,183900,130.8400000,131.0250000,130.8400000,131.0000000,5165
040121,184000,130.9800000,131.1200000,130.9800000,131.1000000,5394
040121,184100,131.1300000,131.2600000,131.1100000,131.2350000,7577
040121,184200,131.3000000,131.3000000,131.1300000,131.2500000,10113
040121,184300,131.2200000,131.2400000,131.1700000,131.2100000,5910
040121,184400,131.2800000,131.3000000,131.1800000,131.1800000,7970
040121,184500,131.1700000,131.1900000,131.0400000,131.0700000,9292
040121,184600,131.0300000,131.0300000,130.5200000,130.5200000,21416
