<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AFLT,D,040116,000000,55.7600000,56.4100000,55.4700000,56.2000000
AFLT,D,050116,000000,56.0800000,56.3200000,54.4500000,54.4500000
AFLT,D,060116,000000,54.5100000,54.5700000,53.2400000,54.0500000
AFLT,D,110116,000000,53.4000000,53.4100000,51.5200000,52.0600000
AFLT,D,120116,000000,51.8900000,53.3000000,51.0000000,53.2500000
AFLT,D,130116,000000,53.1300000,55.3200000,53.1300000,55.0000000
AFLT,D,140116,000000,54.8400000,54.8700000,52.8200000,53.6000000
AFLT,D,150116,000000,53.1100000,54.7500000,51.0000000,51.9800000
AFLT,D,180116,000000,51.5500000,52.2800000,50.2000000,50.4000000
AFLT,D,190116,000000,51.0000000,53.1000000,50.9400000,52.0600000
AFLT,D,200116,000000,51.8500000,52.3200000,50.7300000,52.0000000
AFLT,D,210116,000000,52.0300000,53.0000000,50.7900000,50.9900000
AFLT,D,220116,000000,52.3000000,52.8700000,51.2100000,52.0300000
AFLT,D,250116,000000,52.6000000,52.6700000,50.8000000,51.1000000
AFLT,D,260116,000000,50.9000000,51.4800000,50.5400000,51.2800000
AFLT,D,270116,000000,51.4900000,51.6000000,50.6000000,50.9900000
AFLT,D,280116,000000,51.0400000,51.4300000,50.0800000,50.8900000
AFLT,D,290116,000000,51.0100000,51.1700000,50.2700000,50.5000000
AFLT,D,010216,000000,50.9000000,55.2400000,50.7200000,54.7700000
AFLT,D,020216,000000,54.5000000,55.8900000,53.1500000,54.1000000
AFLT,D,030216,000000,53.8800000,55.2500000,53.2900000,53.8400000
AFLT,D,040216,000000,54.1900000,55.0500000,53.8500000,54.8900000
AFLT,D,050216,000000,54.6100000,57.3000000,54.5300000,57.3000000
AFLT,D,080216,000000,57.3000000,58.6500000,56.0000000,57.3500000
AFLT,D,090216,000000,57.5000000,57.9300000,55.2000000,56.6600000
AFLT,D,100216,000000,56.4600000,56.8000000,55.0200000,55.8000000
AFLT,D,110216,000000,55.5600000,56.0000000,52.8200000,53.6400000
AFLT,D,120216,000000,53.9000000,54.8200000,53.7500000,54.4100000
AFLT,D,150216,000000,54.8500000,55.6400000,53.8400000,53.8800000
AFLT,D,160216,000000,54.0600000,54.9600000,53.8500000,54.1300000
AFLT,D,170216,000000,54.4000000,54.8900000,53.5900000,53.5900000
AFLT,D,180216,000000,54.0000000,54.8000000,53.7000000,54.1500000
AFLT,D,190216,000000,54.1500000,54.2700000,53.0400000,53.3200000
AFLT,D,200216,000000,53.4000000,53.5000000,53.2300000,53.4000000
AFLT,D,220216,000000,53.7700000,54.8000000,53.4000000,54.8000000
AFLT,D,240216,000000,54.1000000,54.4000000,53.5100000,53.7000000
AFLT,D,250216,000000,53.8900000,54.3900000,53.1000000,54.0500000
AFLT,D,260216,000000,54.3300000,55.8000000,54.0900000,55.3500000
AFLT,D,290216,000000,55.3500000,57.6900000,54.8100000,57.1000000
AFLT,D,010316,000000,57.2000000,61.3700000,57.1000000,61.1900000
AFLT,D,020316,000000,61.5300000,62.9900000,60.7000000,61.1000000
AFLT,D,030316,000000,61.2400000,62.1700000,60.6100000,61.6100000
AFLT,D,040316,000000,61.7600000,65.6000000,61.7200000,65.4900000
AFLT,D,070316,000000,65.7500000,68.4600000,65.0900000,65.9400000
AFLT,D,090316,000000,65.8700000,66.9600000,62.4500000,62.4500000
AFLT,D,100316,000000,62.6000000,64.6200000,62.6000000,63.7700000
AFLT,D,110316,000000,64.2500000,66.2100000,63.7000000,64.7700000
AFLT,D,140316,000000,65.0000000,65.6100000,63.0100000,65.5500000
AFLT,D,150316,000000,65.4800000,67.5000000,65.4800000,66.3000000
AFLT,D,160316,000000,66.9200000,69.9800000,66.4000000,69.9800000
AFLT,D,170316,000000,70.2000000,72.0000000,69.3300000,70.1900000
AFLT,D,180316,000000,70.8800000,71.4900000,69.4000000,70.5100000
AFLT,D,210316,000000,70.7100000,74.1700000,70.1200000,73.5300000
AFLT,D,220316,000000,74.0800000,74.8500000,72.0800000,72.2900000
AFLT,D,230316,000000,73.1300000,73.9500000,72.7000000,72.9400000
AFLT,D,240316,000000,72.9000000,73.7600000,71.5400000,73.7600000
AFLT,D,250316,000000,73.9600000,74.8000000,72.7500000,73.2100000
AFLT,D,280316,000000,73.5900000,73.7900000,72.2500000,72.6000000
AFLT,D,290316,000000,72.7500000,74.1400000,72.0100000,73.6900000
AFLT,D,300316,000000,74.0600000,74.2700000,73.0500000,74.1000000
AFLT,D,310316,000000,74.1000000,74.5000000,73.3100000,74.4800000
AFLT,D,010416,000000,74.2500000,76.3200000,73.7200000,74.5500000
AFLT,D,040416,000000,74.8600000,75.5900000,74.4700000,74.6500000
AFLT,D,050416,000000,74.6500000,75.4700000,73.1100000,75.4000000
AFLT,D,060416,000000,75.3000000,79.9900000,75.2700000,79.1400000
AFLT,D,070416,000000,78.8500000,79.9100000,76.8900000,78.0000000
AFLT,D,080416,000000,78.0000000,80.0000000,77.5500000,79.0000000
AFLT,D,110416,000000,79.3900000,82.4400000,79.0100000,82.2000000
AFLT,D,120416,000000,82.2200000,83.7100000,77.6900000,79.3200000
AFLT,D,130416,000000,79.5500000,80.2600000,77.8300000,78.5500000
AFLT,D,140416,000000,78.3100000,79.1900000,77.0100000,78.6300000
AFLT,D,150416,000000,77.9400000,79.5000000,77.6100000,78.0000000
AFLT,D,180416,000000,77.0900000,77.9200000,76.2100000,76.6800000
AFLT,D,190416,000000,77.1900000,80.4800000,77.1000000,77.6200000
AFLT,D,200416,000000,77.9100000,78.6400000,76.7000000,77.2600000
AFLT,D,210416,000000,78.0000000,78.6900000,74.2000000,74.8000000
AFLT,D,220416,000000,75.1500000,78.2800000,75.0500000,78.2100000
AFLT,D,250416,000000,78.2100000,78.5900000,76.1100000,76.2800000
AFLT,D,260416,000000,76.2500000,76.5900000,75.1600000,75.1600000
AFLT,D,270416,000000,75.3000000,76.5300000,74.8000000,75.0000000
AFLT,D,280416,000000,75.3000000,76.1900000,74.9600000,76.0400000
AFLT,D,290416,000000,76.2800000,77.4800000,75.9400000,77.4800000
AFLT,D,040516,000000,77.0500000,77.8700000,76.1000000,76.8900000
AFLT,D,050516,000000,77.6000000,78.5000000,77.2500000,78.4000000
AFLT,D,060516,000000,78.3400000,79.3700000,77.5500000,78.5000000
AFLT,D,100516,000000,78.1100000,80.6800000,78.1100000,79.8700000
AFLT,D,110516,000000,79.4700000,80.7500000,78.7800000,78.9000000
AFLT,D,120516,000000,79.0100000,81.3800000,78.7700000,81.0000000
AFLT,D,130516,000000,80.6000000,81.3400000,80.0200000,80.5100000
AFLT,D,160516,000000,80.6300000,82.0500000,80.5200000,81.8000000
AFLT,D,170516,000000,82.0200000,82.4100000,79.8000000,80.5600000
AFLT,D,180516,000000,80.3100000,80.7800000,78.0000000,78.6900000
AFLT,D,190516,000000,78.0600000,79.6700000,77.3200000,78.1000000
AFLT,D,200516,000000,78.0500000,79.5000000,77.6900000,78.8000000
AFLT,D,230516,000000,78.5000000,81.7200000,78.3800000,81.1800000
AFLT,D,240516,000000,80.8800000,81.7000000,80.3500000,81.5000000
AFLT,D,250516,000000,81.1000000,82.2400000,80.5000000,80.6000000
AFLT,D,260516,000000,80.7400000,82.9400000,80.7100000,82.6800000
AFLT,D,270516,000000,82.1400000,83.0000000,80.6400000,81.0000000
AFLT,D,300516,000000,81.5000000,81.9600000,80.8400000,81.0100000
AFLT,D,310516,000000,81.0200000,82.5800000,80.8000000,81.7000000
AFLT,D,010616,000000,82.5900000,85.5400000,81.3600000,83.0000000
AFLT,D,020616,000000,83.2900000,84.6200000,82.9900000,84.4000000
AFLT,D,030616,000000,84.4100000,88.4700000,84.4100000,88.2000000
AFLT,D,060616,000000,88.4700000,90.7200000,86.8500000,87.9200000
AFLT,D,070616,000000,87.5700000,88.3600000,84.3500000,86.5300000
AFLT,D,080616,000000,86.5100000,88.8000000,83.1100000,84.0400000
