<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
020115,000000,25.1550000,25.5350000,24.9100000,25.2550000,5898714
050115,000000,25.2000000,25.3750000,24.1550000,24.2250000,10106658
060115,000000,24.2000000,24.5550000,23.7100000,23.9150000,8201412
070115,000000,24.1350000,24.3150000,23.8950000,24.0450000,5408019
080115,000000,24.4400000,24.6750000,23.8850000,24.4850000,10744269
090115,000000,24.4200000,24.6700000,23.6450000,23.9100000,9820402
120115,000000,23.9900000,24.2700000,23.4750000,23.9100000,8146168
130115,000000,23.9700000,24.8450000,23.9050000,24.6700000,9022710
140115,000000,24.3000000,24.5500000,24.0050000,24.1900000,10253438
150115,000000,24.3450000,24.9350000,23.6000000,24.7500000,13342031
160115,000000,24.6000000,24.8200000,24.3000000,24.7050000,10086611
190115,000000,24.7200000,25.3050000,24.6100000,25.0500000,6576303
200115,000000,25.2650000,25.6750000,25.2250000,25.3250000,8029373
210115,000000,25.3400000,25.6850000,24.7900000,25.6050000,8949038
220115,000000,25.7000000,26.3950000,25.6250000,26.2900000,15247779
230115,000000,26.7700000,26.7750000,25.9900000,26.1250000,14204133
260115,000000,25.9800000,26.4000000,25.6500000,26.2550000,8106585
270115,000000,26.3000000,26.3000000,25.1000000,25.3650000,14161984
280115,000000,25.5300000,25.6050000,24.8750000,25.1500000,10970769
290115,000000,25.7500000,26.1000000,25.2800000,25.7950000,13957839
300115,000000,26.0650000,26.2000000,25.5950000,25.8000000,10766908
020215,000000,25.8000000,26.3650000,25.4100000,26.3650000,10172866
030215,000000,26.5500000,27.3550000,26.4650000,27.2200000,14033080
040215,000000,27.3000000,27.4250000,26.8650000,27.1300000,9487560
050215,000000,26.9500000,27.2200000,26.6150000,27.1300000,8671184
060215,000000,27.1100000,27.1350000,26.7500000,27.0850000,7883128
090215,000000,26.8400000,26.9400000,26.5900000,26.8650000,7938128
100215,000000,26.7900000,27.1550000,26.4300000,26.7700000,8736888
110215,000000,26.6850000,26.9150000,26.4950000,26.6600000,6534595
120215,000000,26.5850000,27.5650000,26.5150000,27.5050000,12125087
130215,000000,27.6150000,28.4150000,27.6000000,28.3500000,13013846
160215,000000,28.2350000,28.9000000,28.2300000,28.8150000,8578607
170215,000000,28.2250000,28.7050000,28.0650000,28.3850000,8340807
180215,000000,28.6850000,28.9950000,28.6450000,28.8900000,7346681
190215,000000,28.7200000,28.9450000,28.2850000,28.8650000,7918776
200215,000000,28.7000000,29.2350000,28.5950000,29.1650000,11365077
230215,000000,29.2500000,29.3850000,28.7200000,29.0400000,7698138
240215,000000,28.9500000,29.3750000,28.6650000,29.2550000,7322701
250215,000000,29.2500000,29.2500000,28.8320000,28.9000000,5518831
260215,000000,28.9400000,29.3900000,28.9350000,29.1750000,6683098
270215,000000,29.1000000,29.3750000,29.0050000,29.3750000,6871023
020315,000000,29.1500000,29.6400000,29.1500000,29.4200000,6052367
030315,000000,29.4100000,29.4700000,28.7450000,28.7750000,7104357
040315,000000,28.9050000,29.1000000,28.5800000,28.9350000,5533921
050315,000000,29.0500000,29.3150000,28.7950000,29.2400000,5835688
060315,000000,29.2600000,29.7350000,29.1700000,29.4850000,5710804
090315,000000,29.2800000,29.7150000,29.1700000,29.3700000,5276027
100315,000000,29.4700000,29.5250000,28.8200000,29.1950000,6560264
110315,000000,29.0500000,29.9700000,29.0000000,29.9400000,8812772
120315,000000,29.7800000,30.0650000,29.5650000,29.6950000,6764009
130315,000000,29.8500000,30.1800000,29.7400000,30.1250000,6383248
160315,000000,30.2850000,30.9750000,30.2250000,30.9150000,9003570
170315,000000,31.0000000,31.2400000,30.3100000,30.4750000,9584680
180315,000000,30.5350000,30.7300000,30.0450000,30.6550000,7872126
190315,000000,30.6000000,31.1500000,30.5500000,31.0250000,9172064
200315,000000,31.1800000,31.6500000,31.0650000,31.6500000,11650179
230315,000000,31.9900000,32.9000000,31.6050000,31.8750000,12434606
240315,000000,32.0000000,32.5200000,31.5700000,32.5000000,8472756
250315,000000,32.3300000,32.4400000,31.8750000,31.9100000,6563417
260315,000000,31.3500000,31.7600000,30.9350000,31.7600000,8084539
270315,000000,31.9500000,32.0000000,31.5350000,31.6300000,6347549
300315,000000,31.6750000,32.3900000,31.6200000,32.3850000,6702786
310315,000000,32.2150000,32.4500000,31.8150000,32.3600000,8150218
010415,000000,32.1600000,32.9100000,32.0950000,32.6900000,8122564
020415,000000,32.6700000,32.9250000,32.5700000,32.7700000,4454536
070415,000000,32.9900000,33.3000000,32.9100000,33.1450000,6564757
080415,000000,33.0900000,33.3950000,32.9100000,32.9350000,5185932
090415,000000,32.9950000,33.1650000,32.6650000,33.0000000,4956056
100415,000000,33.2000000,33.4100000,32.8800000,33.0900000,6682938
130415,000000,33.1000000,33.3100000,32.9450000,33.1950000,4354284
140415,000000,33.2000000,33.4200000,32.5850000,32.7250000,7143530
150415,000000,32.8300000,33.1850000,32.6500000,32.9600000,5124263
160415,000000,32.8650000,32.9650000,31.6600000,31.7300000,9183448
170415,000000,31.5250000,31.7500000,30.2400000,30.7000000,15565932
200415,000000,30.7100000,31.3800000,30.7100000,31.2900000,6208696
210415,000000,31.4950000,31.7800000,30.9350000,31.0150000,6880580
220415,000000,31.2300000,31.7100000,31.1050000,31.4400000,7621073
230415,000000,31.7750000,31.9100000,30.9800000,31.4100000,7687544
240415,000000,31.5900000,32.1550000,31.3900000,31.5750000,6243199
270415,000000,31.8100000,31.8450000,29.7500000,30.1250000,20064026
280415,000000,29.9000000,29.9750000,28.8250000,29.0250000,15624260
290415,000000,28.5300000,29.0900000,28.0700000,28.4350000,13939823
