<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
LHA@DE,60,010321,130000,12.5800000,12.5800000,12.5400000,12.5800000
LHA@DE,60,010321,140000,12.6300000,12.6800000,12.5900000,12.6800000
LHA@DE,60,010321,150000,12.6700000,12.6700000,12.6700000,12.6700000
LHA@DE,60,010321,160000,12.6800000,12.7600000,12.6800000,12.7600000
LHA@DE,60,010321,170000,12.6900000,12.6900000,12.6600000,12.6600000
LHA@DE,60,010321,180000,12.6600000,12.6900000,12.6600000,12.6900000
LHA@DE,60,010321,190000,12.9000000,12.9000000,12.9000000,12.9000000
LHA@DE,60,010321,200000,12.6500000,12.6600000,12.6500000,12.6600000
LHA@DE,60,020321,110000,12.7600000,12.8000000,12.6300000,12.6300000
LHA@DE,60,020321,120000,12.6300000,12.7400000,12.5900000,12.7000000
LHA@DE,60,020321,130000,12.7000000,12.7100000,12.5500000,12.6000000
LHA@DE,60,020321,140000,12.6300000,12.6300000,12.5100000,12.5100000
LHA@DE,60,020321,150000,12.5200000,12.5900000,12.5000000,12.5800000
LHA@DE,60,020321,160000,12.6300000,12.6500000,12.6000000,12.6000000
LHA@DE,60,020321,170000,12.5900000,12.5900000,12.5700000,12.5700000
LHA@DE,60,020321,180000,12.5800000,12.6700000,12.5800000,12.6300000
LHA@DE,60,020321,190000,12.6900000,12.7000000,12.6700000,12.6700000
LHA@DE,60,020321,200000,12.6200000,12.6300000,12.5900000,12.6300000
LHA@DE,60,030321,110000,12.7000000,12.7000000,12.5900000,12.5900000
LHA@DE,60,030321,120000,12.7300000,12.7900000,12.7000000,12.7800000
LHA@DE,60,030321,130000,12.7700000,12.7700000,12.6900000,12.6900000
LHA@DE,60,030321,140000,12.6800000,12.8300000,12.6800000,12.7900000
LHA@DE,60,030321,150000,12.7800000,12.7800000,12.7000000,12.7000000
LHA@DE,60,030321,160000,12.6900000,12.7600000,12.6900000,12.7400000
LHA@DE,60,030321,170000,12.7700000,12.7700000,12.7000000,12.7000000
LHA@DE,60,030321,180000,12.7400000,12.7800000,12.7400000,12.7400000
LHA@DE,60,030321,190000,12.7400000,12.7400000,12.6500000,12.6500000
LHA@DE,60,030321,200000,12.7500000,12.7900000,12.7500000,12.7900000
LHA@DE,60,040321,110000,12.7900000,12.7900000,12.1300000,12.3800000
LHA@DE,60,040321,120000,12.5000000,12.7700000,12.4000000,12.7100000
LHA@DE,60,040321,130000,12.6700000,12.7100000,12.5500000,12.5900000
LHA@DE,60,040321,140000,12.5900000,12.6400000,12.5000000,12.5200000
LHA@DE,60,040321,150000,12.5000000,12.5000000,12.4500000,12.4500000
LHA@DE,60,040321,160000,12.4700000,12.5000000,12.4200000,12.4700000
LHA@DE,60,040321,170000,12.5200000,12.5800000,12.5000000,12.5200000
LHA@DE,60,040321,180000,12.5400000,12.5700000,12.4500000,12.5200000
LHA@DE,60,040321,190000,12.4900000,12.4900000,12.2700000,12.2900000
LHA@DE,60,040321,200000,12.3400000,12.4100000,12.3300000,12.4100000
LHA@DE,60,050321,110000,12.4000000,12.4000000,12.2300000,12.2800000
LHA@DE,60,050321,120000,12.3000000,12.3000000,11.9200000,11.9200000
LHA@DE,60,050321,130000,11.9300000,12.0500000,11.8900000,12.0400000
LHA@DE,60,050321,140000,12.0400000,12.1200000,12.0200000,12.0900000
LHA@DE,60,050321,150000,12.1200000,12.1500000,12.0300000,12.0800000
LHA@DE,60,050321,160000,12.0800000,12.0900000,12.0000000,12.0200000
LHA@DE,60,050321,170000,12.0300000,12.1300000,11.9700000,12.1200000
LHA@DE,60,050321,180000,12.1100000,12.2000000,12.0600000,12.0800000
LHA@DE,60,050321,190000,12.0800000,12.1000000,11.8500000,11.9300000
LHA@DE,60,050321,200000,11.9400000,11.9400000,11.7200000,11.7500000
LHA@DE,60,080321,110000,11.8000000,12.5100000,11.8000000,12.1500000
LHA@DE,60,080321,120000,12.2000000,12.2500000,11.9700000,12.2100000
LHA@DE,60,080321,130000,12.2100000,12.2100000,12.1000000,12.1500000
LHA@DE,60,080321,140000,12.1000000,12.2100000,12.0900000,12.1900000
LHA@DE,60,080321,150000,12.1900000,12.2000000,12.1100000,12.1300000
LHA@DE,60,080321,160000,12.1600000,12.2500000,12.0800000,12.2400000
LHA@DE,60,080321,170000,12.2600000,12.2700000,12.2000000,12.2500000
LHA@DE,60,080321,180000,12.2500000,12.4200000,12.2300000,12.3600000
LHA@DE,60,080321,190000,12.3900000,12.4500000,12.3500000,12.4000000
LHA@DE,60,080321,200000,12.4000000,12.4400000,12.3700000,12.4100000
LHA@DE,60,090321,110000,12.2000000,12.7100000,12.2000000,12.5300000
LHA@DE,60,090321,120000,12.5500000,12.7500000,12.4700000,12.7200000
LHA@DE,60,090321,130000,12.7000000,12.7200000,12.5300000,12.5300000
LHA@DE,60,090321,140000,12.5500000,12.6000000,12.4900000,12.5900000
LHA@DE,60,090321,150000,12.5900000,12.5900000,12.5100000,12.5500000
LHA@DE,60,090321,160000,12.5300000,12.5500000,12.3700000,12.3800000
LHA@DE,60,090321,170000,12.3800000,12.4500000,12.3600000,12.4500000
LHA@DE,60,090321,180000,12.4400000,12.4700000,12.2900000,12.3000000
LHA@DE,60,090321,190000,12.2900000,12.3900000,12.2400000,12.3800000
LHA@DE,60,090321,200000,12.3800000,12.4400000,12.3700000,12.3800000
LHA@DE,60,100321,110000,12.7000000,12.7000000,12.3000000,12.4900000
LHA@DE,60,100321,120000,12.3000000,12.3300000,12.1500000,12.2200000
LHA@DE,60,100321,130000,12.2200000,12.3100000,12.1600000,12.1700000
LHA@DE,60,100321,140000,12.1700000,12.2300000,12.0800000,12.2100000
LHA@DE,60,100321,150000,12.2300000,12.2600000,12.2100000,12.2500000
LHA@DE,60,100321,160000,12.2500000,12.2500000,12.1700000,12.1900000
LHA@DE,60,100321,170000,12.1700000,12.1900000,12.0700000,12.1200000
LHA@DE,60,100321,180000,12.1300000,12.2200000,12.0900000,12.1600000
LHA@DE,60,100321,190000,12.1400000,12.1600000,12.0500000,12.0700000
LHA@DE,60,100321,200000,12.0800000,12.1500000,12.0500000,12.0500000
LHA@DE,60,110321,110000,12.3000000,12.3800000,12.1500000,12.3800000
LHA@DE,60,110321,120000,12.2000000,12.2000000,11.9500000,11.9600000
LHA@DE,60,110321,130000,11.9700000,11.9800000,11.8500000,11.8700000
LHA@DE,60,110321,140000,11.8700000,11.9400000,11.8700000,11.8700000
LHA@DE,60,110321,150000,11.8700000,11.9500000,11.8600000,11.9200000
LHA@DE,60,110321,160000,11.9400000,11.9900000,11.9200000,11.9300000
LHA@DE,60,110321,170000,11.9600000,12.0100000,11.9300000,11.9900000
LHA@DE,60,110321,180000,12.0000000,12.0400000,11.9400000,12.0100000
LHA@DE,60,110321,190000,12.0000000,12.0600000,11.9800000,12.0100000
LHA@DE,60,110321,200000,12.0100000,12.1100000,12.0100000,12.1100000
LHA@DE,60,120321,110000,12.1200000,12.1500000,12.0800000,12.1100000
LHA@DE,60,120321,120000,12.1400000,12.1600000,11.8500000,11.8500000
LHA@DE,60,120321,130000,11.8500000,11.8700000,11.7900000,11.8000000
LHA@DE,60,120321,140000,11.8100000,11.8100000,11.7000000,11.7600000
LHA@DE,60,120321,150000,11.7600000,11.8200000,11.7500000,11.8000000
LHA@DE,60,120321,160000,11.7900000,11.8800000,11.7700000,11.8800000
LHA@DE,60,120321,170000,11.8900000,11.9000000,11.8400000,11.8400000
LHA@DE,60,120321,180000,11.9000000,11.9300000,11.7900000,11.8900000
LHA@DE,60,120321,190000,11.9100000,12.0000000,11.9000000,12.0000000
LHA@DE,60,120321,200000,12.0000000,12.0500000,11.8800000,11.9200000
LHA@DE,60,150321,110000,12.1000000,12.2000000,12.0700000,12.1800000
LHA@DE,60,150321,120000,12.1400000,12.2200000,12.0500000,12.1400000
LHA@DE,60,150321,130000,12.1400000,12.1900000,12.0600000,12.1600000
LHA@DE,60,150321,140000,12.1500000,12.1500000,12.0900000,12.1200000
LHA@DE,60,150321,150000,12.1100000,12.1500000,12.0800000,12.0900000
LHA@DE,60,150321,160000,12.0800000,12.1200000,12.0300000,12.0500000
LHA@DE,60,150321,170000,12.0600000,12.1800000,12.0500000,12.1600000
LHA@DE,60,150321,180000,12.1800000,12.2000000,12.1400000,12.1400000
LHA@DE,60,150321,190000,12.1200000,12.1800000,11.9300000,11.9300000
LHA@DE,60,150321,200000,11.9200000,12.2000000,11.9200000,12.0500000
LHA@DE,60,160321,110000,12.6800000,12.7000000,12.1200000,12.1300000
LHA@DE,60,160321,120000,12.1500000,12.2300000,12.0600000,12.1400000
