<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
MTSS,D,040116,000000,210.4500000,210.9500000,207.3500000,208.4500000
MTSS,D,050116,000000,209.0500000,210.9500000,208.3000000,210.7500000
MTSS,D,060116,000000,210.6000000,212.4000000,208.6500000,210.0000000
MTSS,D,110116,000000,204.9500000,207.7000000,197.7500000,200.5500000
MTSS,D,120116,000000,200.0000000,207.2500000,198.1000000,205.0000000
MTSS,D,130116,000000,206.7000000,209.0000000,205.7500000,208.0000000
MTSS,D,140116,000000,207.0000000,211.5000000,206.0500000,210.8500000
MTSS,D,150116,000000,210.4000000,214.0000000,200.5000000,205.0000000
MTSS,D,180116,000000,203.5500000,207.3500000,202.7500000,205.4000000
MTSS,D,190116,000000,207.3000000,214.4500000,207.0500000,208.0000000
MTSS,D,200116,000000,206.0500000,208.0000000,203.4500000,204.8000000
MTSS,D,210116,000000,206.0500000,213.7000000,205.0500000,211.7000000
MTSS,D,220116,000000,213.8000000,220.0000000,212.0500000,216.5000000
MTSS,D,250116,000000,218.6500000,218.6500000,214.1000000,215.5000000
MTSS,D,260116,000000,214.6500000,218.2500000,213.5500000,218.1000000
MTSS,D,270116,000000,217.9500000,224.0000000,216.7500000,224.0000000
MTSS,D,280116,000000,223.0000000,227.6500000,222.5500000,227.2000000
MTSS,D,290116,000000,227.6500000,228.4000000,221.5000000,226.0000000
MTSS,D,010216,000000,227.0000000,228.4500000,223.9000000,227.0000000
MTSS,D,020216,000000,226.9000000,230.0000000,225.6000000,229.5000000
MTSS,D,030216,000000,228.7000000,231.4000000,226.5000000,230.6000000
MTSS,D,040216,000000,232.2000000,236.3000000,230.7500000,232.0000000
MTSS,D,050216,000000,231.7500000,234.5000000,227.3500000,231.8500000
MTSS,D,080216,000000,231.4500000,231.9500000,226.3500000,227.0000000
MTSS,D,090216,000000,226.7500000,230.0000000,226.1000000,229.0000000
MTSS,D,100216,000000,228.0500000,229.8500000,225.5000000,227.6000000
MTSS,D,110216,000000,228.5000000,228.9000000,221.6000000,226.3000000
MTSS,D,120216,000000,227.1500000,229.8000000,225.4500000,229.7500000
MTSS,D,150216,000000,230.3500000,231.1000000,228.3000000,228.5000000
MTSS,D,160216,000000,230.3000000,233.0000000,227.4000000,233.0000000
MTSS,D,170216,000000,233.0500000,237.0000000,232.6000000,234.2000000
MTSS,D,180216,000000,235.3500000,239.7000000,234.2000000,238.0000000
MTSS,D,190216,000000,236.9500000,239.1500000,235.2000000,236.8000000
MTSS,D,200216,000000,238.0000000,238.0000000,234.5500000,235.4500000
MTSS,D,220216,000000,236.0500000,238.5500000,235.0000000,238.0000000
MTSS,D,240216,000000,236.3000000,236.9000000,226.5500000,228.0000000
MTSS,D,250216,000000,229.5000000,231.0000000,226.6000000,228.1000000
MTSS,D,260216,000000,228.7000000,232.9500000,228.7000000,230.2500000
MTSS,D,290216,000000,229.9500000,235.6000000,227.4000000,233.0000000
MTSS,D,010316,000000,233.6000000,235.4000000,230.1500000,230.9500000
MTSS,D,020316,000000,231.0000000,232.1500000,230.3500000,231.0000000
MTSS,D,030316,000000,232.0000000,235.0000000,231.7500000,234.5000000
MTSS,D,040316,000000,234.5000000,234.9000000,232.0000000,234.6500000
MTSS,D,070316,000000,235.0000000,240.0000000,234.3000000,239.6500000
MTSS,D,090316,000000,237.9500000,239.4500000,235.5000000,236.5000000
MTSS,D,100316,000000,236.9000000,237.6000000,232.4000000,232.8000000
MTSS,D,110316,000000,232.7500000,236.9000000,231.1000000,231.8500000
MTSS,D,140316,000000,234.0500000,235.0500000,231.3000000,232.9000000
MTSS,D,150316,000000,233.5500000,235.3000000,232.0000000,232.1500000
MTSS,D,160316,000000,232.5000000,236.9500000,232.4000000,236.9500000
MTSS,D,170316,000000,237.2000000,239.7500000,233.4000000,236.0000000
MTSS,D,180316,000000,236.1500000,238.0000000,234.5000000,234.5000000
MTSS,D,210316,000000,234.3500000,237.4500000,231.5500000,237.2000000
MTSS,D,220316,000000,237.4500000,240.0000000,237.4500000,239.9000000
MTSS,D,230316,000000,238.6000000,239.5500000,234.5500000,235.5000000
MTSS,D,240316,000000,234.9000000,236.9000000,233.4000000,236.0000000
MTSS,D,250316,000000,236.9500000,238.1500000,235.6500000,236.5000000
MTSS,D,280316,000000,236.5500000,238.8500000,234.3500000,236.9500000
MTSS,D,290316,000000,237.8000000,237.9500000,235.4000000,235.4000000
MTSS,D,300316,000000,237.8500000,238.2000000,235.6000000,236.3500000
MTSS,D,310316,000000,235.9500000,240.1000000,235.6000000,240.1000000
MTSS,D,010416,000000,238.7000000,239.3500000,235.3500000,237.6000000
MTSS,D,040416,000000,237.6500000,239.7500000,236.0500000,236.4500000
MTSS,D,050416,000000,236.1000000,236.9000000,233.0500000,233.3000000
MTSS,D,060416,000000,234.5000000,234.8000000,231.8000000,231.9000000
MTSS,D,070416,000000,232.9500000,234.9000000,232.3000000,234.4000000
MTSS,D,080416,000000,234.8000000,239.9000000,233.1500000,238.1000000
MTSS,D,110416,000000,239.3000000,251.8500000,238.5500000,251.5000000
MTSS,D,120416,000000,252.0000000,253.7500000,245.5000000,250.0000000
MTSS,D,130416,000000,251.5000000,255.0000000,251.0000000,251.7000000
MTSS,D,140416,000000,251.9000000,253.0000000,248.0000000,251.7500000
MTSS,D,150416,000000,251.4500000,252.8500000,249.4000000,252.0000000
MTSS,D,180416,000000,249.9500000,250.4000000,246.5000000,249.5000000
MTSS,D,190416,000000,250.8000000,259.4500000,249.5000000,259.4500000
MTSS,D,200416,000000,259.1500000,260.4000000,254.4500000,257.2000000
MTSS,D,210416,000000,259.3500000,259.4000000,254.0000000,257.4000000
MTSS,D,220416,000000,257.4000000,259.6500000,256.8000000,258.5000000
MTSS,D,250416,000000,259.3000000,259.3000000,256.3000000,257.1000000
MTSS,D,260416,000000,256.7000000,258.9000000,255.3500000,256.0000000
MTSS,D,270416,000000,256.1000000,258.8000000,254.7500000,256.7000000
MTSS,D,280416,000000,256.7000000,257.8500000,254.5500000,256.6500000
MTSS,D,290416,000000,257.3000000,259.8000000,251.5000000,253.0000000
MTSS,D,040516,000000,251.9500000,257.5000000,250.2500000,257.2000000
MTSS,D,050516,000000,257.1500000,258.1500000,254.0500000,256.7500000
MTSS,D,060516,000000,256.2500000,263.2000000,255.6000000,262.0500000
MTSS,D,100516,000000,260.0000000,261.1500000,248.0000000,253.0000000
MTSS,D,110516,000000,253.7500000,256.5000000,251.1500000,253.0000000
MTSS,D,120516,000000,254.0000000,256.2000000,250.7500000,255.2000000
MTSS,D,130516,000000,255.5000000,256.8000000,251.2500000,256.1000000
MTSS,D,160516,000000,256.0000000,261.6000000,255.1000000,259.2000000
MTSS,D,170516,000000,259.2000000,261.0000000,254.4500000,259.4500000
MTSS,D,180516,000000,259.5000000,262.9000000,258.8000000,262.9000000
MTSS,D,190516,000000,260.5500000,261.0000000,251.8500000,252.6000000
MTSS,D,200516,000000,254.0500000,258.4000000,252.6000000,258.0000000
MTSS,D,230516,000000,257.2500000,258.8000000,252.8500000,253.1000000
MTSS,D,240516,000000,253.2500000,254.9000000,252.5000000,254.8000000
MTSS,D,250516,000000,255.1000000,259.7500000,255.1000000,256.0000000
MTSS,D,260516,000000,257.9000000,258.1500000,254.7000000,254.7000000
MTSS,D,270516,000000,256.0500000,256.9000000,254.0500000,255.8000000
MTSS,D,300516,000000,255.2000000,256.4000000,254.1000000,255.5500000
MTSS,D,310516,000000,255.6500000,257.8000000,255.1000000,257.1500000
MTSS,D,010616,000000,256.4500000,258.0000000,248.8000000,251.9000000
MTSS,D,020616,000000,252.1000000,255.1500000,247.5000000,254.5500000
MTSS,D,030616,000000,255.2000000,256.2500000,251.5000000,253.0000000
MTSS,D,060616,000000,253.9000000,272.8000000,253.8500000,267.0000000
MTSS,D,070616,000000,268.7000000,268.7000000,263.1000000,264.9500000
MTSS,D,080616,000000,265.2500000,267.4000000,263.0000000,263.4000000
MTSS,D,090616,000000,264.0500000,265.6000000,260.0000000,264.1500000
MTSS,D,100616,000000,264.0000000,264.4500000,259.7500000,260.7000000
MTSS,D,140616,000000,261.8000000,263.4000000,256.0000000,263.4000000
MTSS,D,150616,000000,263.0000000,268.4500000,261.2500000,268.3000000
MTSS,D,160616,000000,266.9500000,268.8000000,255.0000000,256.0000000
MTSS,D,170616,000000,257.5000000,259.8500000,253.3000000,253.3000000
MTSS,D,200616,000000,255.6500000,264.3000000,255.6500000,262.2000000
MTSS,D,210616,000000,260.8000000,261.0000000,253.0000000,255.1000000
MTSS,D,220616,000000,256.4000000,258.2000000,253.0000000,253.0000000
MTSS,D,230616,000000,253.8000000,255.6500000,248.2500000,249.9000000
MTSS,D,240616,000000,244.9500000,250.7000000,238.0500000,238.1500000
MTSS,D,270616,000000,239.4000000,239.4000000,232.1500000,234.5000000
MTSS,D,280616,000000,234.6500000,242.0000000,234.5000000,240.8000000
MTSS,D,290616,000000,242.1500000,243.5000000,237.5500000,243.5000000
MTSS,D,300616,000000,243.1500000,245.4500000,242.8000000,243.0500000
MTSS,D,010716,000000,244.0000000,248.0000000,240.5500000,245.0500000
MTSS,D,040716,000000,234.3500000,237.4000000,233.0000000,235.4500000
MTSS,D,050716,000000,235.1500000,237.1000000,233.0000000,235.1500000
MTSS,D,060716,000000,235.6500000,235.6500000,233.0000000,235.2000000
MTSS,D,070716,000000,235.2000000,237.6000000,227.4500000,231.5000000
